"";"Transporte";"CulturaDeporte";"Educa";"Vivienda";"AguaSaneamiento";"Agro";"InclusReconci";"AmbienteSostenible";"SaludProtecc";"MinasEnerg";"Telecom";"ComIndTur"
"1";"plmb";"pccc";"pnie";"hipotecario";"recicladores";"aviar";"acr";"biotecnológica";"bienestarina";"gmdc";"coltel";"pdp"
"2";"transmilenio";"pemp";"pilo";"pipe";"empopasto";"patógenos";"desmovilizados";"biotecnológicos";"vitamina";"microcentral";"parapat";"postales"
"3";"transcaribe";"pnrch";"val";"vipa";"fia";"algodonero";"ddhh";"lagunar";"atenciones";"kwh";"colcert";"exportafácil"
"4";"ani";"películas";"eliges";"camacol";"administr";"sacrificio";"dih";"sncc";"ensin";"mus";"cibernéticos";"conp"
"5";"pr";"pnmc";"predicción";"iniciaciones";"descertificados";"abonos";"desmovilizada";"spnn";"micronutrientes";"gensa";"laudo";"appri"
"6";"trayecto";"bic";"sfsfo";"linderos";"biogás";"avícola";"pd";"comecc";"maestra";"kbpd";"uit";"prc"
"7";"carriles";"sinfónica";"sia";"registral";"torrencial";"huevo";"prse";"biotecnológicas";"nutriente";"tebsa";"telecom";"ptf"
"8";"flota";"paranacionales";"cirerh";"levantamientos";"ibal";"fenavi";"desmovilizado";"dagma";"lactancia";"oef";"cibernético";"inas"
"9";"túneles";"claustro";"enforque";"edificadora";"intradomiciliarias";"avícolas";"gai";"marinos";"kilogramo";"mbls";"ciberespacio";"cones"
"10";"camión";"fútbol";"internados";"fig";"bocatoma";"pollo";"afrocolombianos";"dbo";"recobros";"refrigeración";"teleasociadas";"mostrará"
"11";"tpd";"basílica";"condonaciones";"land";"nucleada";"ets";"ruv";"sox";"acf";"fenoge";"mhz";"idic"
"12";"regiotram";"espectadores";"fiduprevisora";"ivp";"contabilizada";"fedegan";"uariv";"conasa";"snbf";"eiti";"ccp";"vcr"
"13";"tren";"fifa";"paces";"ladm";"ptap";"moscas";"gi";"atmósfera";"vr";"térmicas";"ccoc";"mod"
"14";"toyo";"coliseo";"validaciones";"rentistas";"gaviones";"granjas";"ppe";"ciénagas";"folios";"biomasas";"prepago";"confecoop"
"15";"pavimento";"cinematografía";"iam";"smlm";"costanero";"fonav";"sps";"brugman";"moderada";"gwh";"ghz";"trade"
"16";"systra";"deportivo";"doctorados";"inurbe";"paei";"fedepalma";"palenquera";"cdb";"inconclusas";"perforación";"arbitral";"vcl"
"17";"precarga";"campeonato";"courseware";"reconocedores";"colector";"salmonella";"ddr";"sst";"urgencias";"termoguajira";"cibercrímen";"hausmann"
"18";"peajes";"cinematográfica";"fie";"rnrp";"pgei";"cenipalma";"resa";"emsirva";"desvia";"mch";"kbps";"icca"
"19";"autopistas";"orquestas";"size";"ddt";"pastales";"bioinsumos";"ilícito";"larsen";"sarampión";"coalbed";"bnp";"crespi"
"20";"camiones";"monumentos";"sfsep";"leasings";"avalancha";"quillasingas";"cnrr";"pst";"ceguera";"methane";"cert";"stein"
"21";"fdn";"cinematográfico";"cna";"metálicos";"torrenciales";"urea";"farc";"kioto";"piel";"fnce";"cntv";"confecámaras"
"22";"cercanías";"orquesta";"cier";"escrituración";"construccion";"vacas";"defensoría";"fitoterapéuticos";"incumplida";"hidrocarburo";"paribas";"confederación"
"23";"paraderos";"paralímpicos";"conciliar";"williamson";"bas";"pmg";"ntp";"retributivas";"inmune";"poliductos";"liquidadas";"cpc"
"24";"pretroncales";"festivales";"hbi";"coordenada";"cuatrie";"lechero";"apc";"desecación";"haemophilus";"fueloil";"cicte";"edit"
"25";"geometría";"fnc";"vpbm";"unificadora";"lín";"aromáticas";"gaoml";"avads";"chip";"mmba";"otan";"orte"
"26";"carril";"mompox";"nee";"geodésica";"nio";"hortofrutícola";"snariv";"gris";"radicadas";"epc";"autenticación";"innpulsa"
"27";"viaductos";"película";"docencia";"fna";"desbordamiento";"brucelosis";"comisionado";"sisaire";"expiradas";"optimista";"ciberdelincuencia";"ptp"
"28";"pasajero";"músicas";"smnc";"vvdt";"waste";"hatos";"vulneraciones";"ecológicamente";"glosas";"emsa";"ieee";"ctei"
"29";"desnivel";"sinfónico";"undécimo";"agrimensores";"vasb";"lmr";"violencias";"suplente";"guia";"act";"tpbc";"transp"
"30";"rodadura";"espectáculos";"contradijo";"licenciada";"departament";"cuarentenarios";"profamilia";"trienal";"hospitalización";"biofuels";"pornografía";"rastreo"
"31";"peatones";"largometrajes";"bonificaciones";"liberadas";"zgo";"etas";"racial";"suisa";"ambulatorios";"pidir";"movistar";"mna"
"32";"bus";"carrión";"pasaporte";"desatendida";"descertifica";"potasio";"oacp";"siur";"ingesta";"galón";"mbps";"ain"
"33";"davies";"uap";"mba";"locatarios";"ellen";"eeb";"subcomité";"nagoya";"saborizada";"gpc";"incidente";"decs"
"34";"gleave";"olímpico";"student";"integradora";"macarthur";"cárnicos";"snaipd";"genómica";"poliomielitis";"mmb";"senior";"innovation"
"35";"steer";"ugc";"scaft";"ece";"recicladora";"dap";"tortura";"dacti";"inmunización";"ili";"megc";"rodrik"
"36";"sinc";"teatro";"educado";"rajabifard";"pluvial";"kcl";"stella";"eae";"influenzae";"obligacion";"interceptación";"factoring"
"37";"cofinanciables";"soterración";"devenguen";"cadastre";"ponce";"higienización";"combatientes";"bau";"dift";"cxc";"túnez";"aii"
"38";"glorieta";"activadores";"interanual";"bloomberg";"angelinos";"avicultura";"victimizantes";"ecdbc";"eria";"turbovapor";"fdd";"udae"
"39";"comodidad";"coproducciones";"promociones";"avc";"roa";"algodoneros";"intrafamiliar";"enredd";"user";"térmica";"niif";"auditorios"
"40";"parada";"rodaje";"lms";"sfve";"distraccion";"conalgodón";"cip";"gmcc";"nacido";"chevron";"ott";"vasquez"
"41";"peaje";"coros";"acreditarse";"cne";"ineficacia";"nariñense";"ep";"pnacc";"ppna";"petroleum";"iti";"treaties"
"42";"pimrc";"campeonatos";"decil";"pensionado";"llantas";"entera";"excombatientes";"pricc";"medicamento";"evaluating";"asequibilidad";"mutuales"
"43";"automóvil";"templos";"academic";"menaje";"digestión";"spp";"ged";"genes";"psan";"fraser";"ordenadores";"cooperativismo"
"44";"conectan";"sica";"schools";"fbkf";"reutilizar";"asohofrucol";"testigos";"ómicas";"omega";"rsu";"csirts";"datlas"
